Dataset,Geography Level,Geography,Metric,Value,Unit,Observation Date,Source,Source URL,Boundary
Project development records,State,California,Expanding,1.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,California,Operating,8.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,California,Proposed,11.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,California,Suspended,1.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,California,Total,24.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Colorado,Active Pipeline,3.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Colorado,Approved or Under Construction,1.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Colorado,Cancelled,0.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Colorado,Expanding,0.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Colorado,Operating,4.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Colorado,Proposed,2.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Colorado,Suspended,0.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Colorado,Total,7.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Connecticut,Active Pipeline,3.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Connecticut,Approved or Under Construction,0.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
