Pipeline Type,Entity ID,Entity Name,Plant ID,Plant Name,Plant State,County,Balancing Authority Code,Sector,Generator ID,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Technology Group,Energy Source Code,Prime Mover Code,Expected Month,Expected Year,Status,Latitude,Longitude
Addition,65144,"Samsung C&T Renewables, LLC",67918.0,"Dios BESS, LLC",TX,Jackson,ERCO,IPP Non-CHP,DIOS,201.6,201.6,201.6,Batteries,Battery storage,MWH,BA,3.0,2027.0,"(P) Planned for installation, but regulatory approvals not initiated",29.012998,-96.5051
Addition,58468,Dominion Renewable Energy,68073.0,Blue Ridge Solar,VA,Pittsylvania,PJM,Electric Utility,BLUER,95.0,95.0,95.0,Solar Photovoltaic,Solar,SUN,PV,3.0,2027.0,"(U) Under construction, less than or equal to 50 percent complete",36.790101,-79.42875
Addition,65869,Prologis Logistics Services Incorporated,68138.0,Internationale Ctr 11-SLCHI321,IL,DuPage,PJM,IPP Non-CHP,CH321,1.8,1.8,1.8,Solar Photovoltaic,Solar,SUN,PV,3.0,2027.0,"(U) Under construction, less than or equal to 50 percent complete",41.70053,-88.02744
Addition,67927,"Grears Corner Solar, LLC",68211.0,Grears Corner Solar,DE,New Castle,PJM,IPP Non-CHP,GRER,4.0,4.0,4.0,Solar Photovoltaic,Solar,SUN,PV,3.0,2027.0,(L) Regulatory approvals pending. Not under construction,39.380083,-75.70611
Addition,67926,"Maryland Line Road Solar, LLC",68212.0,Maryland Line Road Solar,DE,New Castle,PJM,IPP Non-CHP,MDLN,2.5,2.5,2.5,Solar Photovoltaic,Solar,SUN,PV,3.0,2027.0,(L) Regulatory approvals pending. Not under construction,39.372,-75.763
Addition,61514,"Agilitas Energy, Inc.",68215.0,Braley Hill North Solar,MA,Plymouth,ISNE,IPP Non-CHP,BRAES,5.0,5.0,5.0,Batteries,Battery storage,MWH,BA,3.0,2027.0,(L) Regulatory approvals pending. Not under construction,41.776,-70.904
Addition,61514,"Agilitas Energy, Inc.",68215.0,Braley Hill North Solar,MA,Plymouth,ISNE,IPP Non-CHP,BRAPV,5.0,5.0,5.0,Solar Photovoltaic,Solar,SUN,PV,3.0,2027.0,(L) Regulatory approvals pending. Not under construction,41.776,-70.904
Addition,66646,"ReWild Renewables, LLC",68217.0,Featherbed Lane South Solar,MA,Plymouth,ISNE,IPP Non-CHP,FEAES,1.0,1.0,1.0,Batteries,Battery storage,MWH,BA,3.0,2027.0,(L) Regulatory approvals pending. Not under construction,41.761,-70.896
Addition,66646,"ReWild Renewables, LLC",68217.0,Featherbed Lane South Solar,MA,Plymouth,ISNE,IPP Non-CHP,FEAPV,1.0,1.0,1.0,Solar Photovoltaic,Solar,SUN,PV,3.0,2027.0,(L) Regulatory approvals pending. Not under construction,41.761,-70.896
Addition,66646,"ReWild Renewables, LLC",68218.0,Randall Lane Solar,MA,Plymouth,ISNE,IPP Non-CHP,RANES,5.0,5.0,5.0,Batteries,Battery storage,MWH,BA,3.0,2027.0,(L) Regulatory approvals pending. Not under construction,41.663,-70.844
