Date,Series,Metric,Value,Unit,Series ID,sector_name,measure_text,Source
2020-01-01,Manufacturing — Unit labor costs,Year-over-year change,5.4,percent,PRS30006111,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2020-04-01,Manufacturing — Unit labor costs,Year-over-year change,13.0,percent,PRS30006111,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2020-07-01,Manufacturing — Unit labor costs,Year-over-year change,4.6,percent,PRS30006111,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2020-10-01,Manufacturing — Unit labor costs,Year-over-year change,4.2,percent,PRS30006111,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2021-01-01,Manufacturing — Unit labor costs,Year-over-year change,2.8,percent,PRS30006111,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2021-04-01,Manufacturing — Unit labor costs,Year-over-year change,-5.2,percent,PRS30006111,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2021-07-01,Manufacturing — Unit labor costs,Year-over-year change,2.2,percent,PRS30006111,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2021-10-01,Manufacturing — Unit labor costs,Year-over-year change,2.4,percent,PRS30006111,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2022-01-01,Manufacturing — Unit labor costs,Year-over-year change,3.5,percent,PRS30006111,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2022-04-01,Manufacturing — Unit labor costs,Year-over-year change,4.0,percent,PRS30006111,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2022-07-01,Manufacturing — Unit labor costs,Year-over-year change,6.8,percent,PRS30006111,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2022-10-01,Manufacturing — Unit labor costs,Year-over-year change,5.2,percent,PRS30006111,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2023-01-01,Manufacturing — Unit labor costs,Year-over-year change,4.5,percent,PRS30006111,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2023-04-01,Manufacturing — Unit labor costs,Year-over-year change,5.1,percent,PRS30006111,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2023-07-01,Manufacturing — Unit labor costs,Year-over-year change,4.1,percent,PRS30006111,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
