Date,Value,Series ID,Series,Metric,Unit,Source
2022-02-01,378.1,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2022-03-01,379.8,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2022-04-01,382.4,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2022-05-01,384.8,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2022-06-01,387.6,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2022-07-01,390.7,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2022-08-01,394.4,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2022-09-01,395.3,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2022-10-01,397.2,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2022-11-01,398.8,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2022-12-01,399.8,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2023-01-01,400.8,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2023-02-01,401.0,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2023-03-01,396.8,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
